review_id,review_body
R1,Absolutely love this product! Highly recommend to everyone.
R2,Terrible experience. Stopped working after two days.
R3,"It's okay, not great but not bad either."
R4,The packaging was nice but the product did not meet expectations.
R5,Great value for money. Very satisfied with the quality.
R6,Received a damaged item. Very disappointed.
R7,Fast delivery and works exactly as described.
R8,Neutral about the product. Might not buy again.
R9,Customer support was helpful in resolving my issue.
R10,The product exceeded my expectations. Will purchase again.
